iteration,matches,theta_deg,tx,ty,target_centroid_x,target_centroid_y,source_centroid_x,source_centroid_y,centroid_distance,rmse_source_to_target,rmse_target_to_source,symmetric_chamfer_rmse,median_distance,p95_distance,max_distance,coverage,match_rmse,profile_score,score_variation,transform_step
0,0,0.0000000000,0.0000000000,0.0000000000,4860.4952257433,5000.2486525847,5453.5731904657,4524.8085111591,760.1215694335,485.5985988508,393.9437909051,442.1525243615,154.7506061904,965.8887175257,14142.1356237310,0.8022500000,0.0000000000,0.0447020827,0.0000000000,0.0000000000
1,81634,-0.2954985769,-39.0823212485,31.0382833630,4860.4952257433,5000.2486525847,5437.7545880366,4527.6603572665,746.0348974592,411.8258439293,385.6107090078,398.9336690664,152.6415905482,941.7963381299,14142.1356237310,0.8039000000,159.4015527862,0.0413970286,0.0739351255,0.0061077361
2,81825,-0.5876750510,-77.4774931648,61.2007590975,4860.4952257433,5000.2486525847,5422.2183673081,4529.8356791509,732.6808673250,403.7498647674,377.4244083590,390.8088646160,150.5331160821,920.5482932177,14142.1356237310,0.8060500000,158.4382833591,0.0405864501,0.0195805977,0.0060024181
3,82026,-0.8734837330,-115.0088582836,90.4837856261,4860.4952257433,5000.2486525847,5406.9093878643,4531.6290758955,719.8421661884,395.9333061654,369.3735489615,382.8837954285,149.2155167780,899.2688038548,14142.1356237310,0.8091000000,157.6066533363,0.0397991047,0.0193992165,0.0058607071
4,82211,-1.1363984736,-149.5958232325,117.6578418297,4860.4952257433,5000.2486525847,5392.6434227627,4533.4178836089,707.8931207841,362.4855832965,361.8950669406,362.1904454660,148.2699207409,880.5406898945,1473.7071505808,0.8133000000,156.8146598330,0.0381246327,0.0420731093,0.0054050820
5,82419,-1.3867885746,-182.0572458460,144.0041059328,4860.4952257433,5000.2486525847,5379.4264686611,4535.5017433790,696.6199282912,355.4088047638,354.8571497939,355.1330843948,147.4429679389,861.8784969531,1447.5281075656,0.8183500000,156.4095714985,0.0374263181,0.0183166239,0.0051411168
6,82739,-1.6508008680,-215.8277396192,171.7092005468,4860.4952257433,5000.2486525847,5365.8323717819,4537.5336366891,685.1794050478,348.1457881855,347.5274963442,347.8367796442,146.4944163834,845.0967046607,1420.2382713593,0.8241000000,156.7766383353,0.0367081497,0.0191888618,0.0053923973
7,83176,-1.9458318258,-252.7310661763,202.0285565098,4860.4952257433,5000.2486525847,5351.3357196386,4539.0538119756,673.5169422159,340.4185360321,339.5173024792,339.9682178947,145.9639315889,826.6601542739,1390.3538652900,0.8293500000,157.6590641460,0.0359455932,0.0207734933,0.0059520203
8,83789,-2.2881324135,-294.7440379448,236.6893925816,4860.4952257433,5000.2486525847,5335.1331538498,4540.1572281457,661.0334950965,331.8306814057,330.3776971770,331.1049863066,144.6417371284,806.6593546026,1356.2474677257,0.8346500000,159.2083577726,0.0350981898,0.0235746108,0.0068391345
9,84406,-2.6563872486,-339.3789734150,273.8687917279,4860.4952257433,5000.2486525847,5318.0412481035,4541.0633084540,648.2280022045,322.8846890476,320.6974291226,321.7929174696,142.6647459306,784.7406830866,1319.9048114047,0.8389500000,160.2496291289,0.0342133558,0.0252102453,0.0073223601
10,84859,-3.0353753651,-384.4699421585,312.2391134061,4860.4952257433,5000.2486525847,5301.0520541164,4541.9190346646,635.7329295301,313.9907294565,310.9155401281,312.4569180525,139.8647304038,762.8316698297,1283.1497860340,0.8428000000,160.1220038198,0.0333323172,0.0257513066,0.0074941934
11,85171,-3.4194451260,-429.3129639903,351.1346382042,4860.4952257433,5000.2486525847,5284.4338206360,4542.6081604390,623.8258990222,305.2467397683,301.2121416535,303.2361508945,137.3310890620,739.3213564066,1246.5586169197,0.8483000000,159.1641421805,0.0324698219,0.0258756463,0.0075488621
12,85466,-3.7947806509,-472.1211524828,389.6586486111,4860.4952257433,5000.2486525847,5268.9605131013,4543.6126584093,612.6665668640,297.0411801254,292.0109138391,294.5367858956,135.0598906034,718.7724221699,1211.6634510033,0.8556000000,158.1793453106,0.0316574130,0.0250204324,0.0073444868
