label,index,x,y
source_final,0,6347.6153661011,4711.1410696510
source_final,1,3632.5504573910,5860.0306666657
source_final,2,3606.0850160872,7283.9438323214
source_final,3,6290.8871449427,5425.0904162947
source_final,4,6469.2843275313,1147.7071677587
source_final,5,3688.7119226142,7730.8518837411
source_final,6,3677.2398635580,7263.5742872437
source_final,7,6416.7250314232,2230.2302472973
source_final,8,6361.6257639346,5085.7716527580
source_final,9,6360.5675147087,5220.9981731029
source_final,10,6382.5507736131,3629.8736012817
source_final,11,5516.7502747896,7128.1556124471
source_final,12,6372.8433022377,6578.3790312829
source_final,13,6427.5423072248,1862.2609949676
source_final,14,6394.7540643540,4383.9727294861
source_final,15,3630.6721619389,4975.5602524049
source_final,16,6323.6788371821,5477.4826598892
source_final,17,4255.8494361841,7137.6200827702
source_final,18,6403.2277735282,1521.4156405274
source_final,19,3686.6550786072,4452.7420932790
source_final,20,3918.1070290449,990.7902524747
source_final,21,5495.0376392287,4400.7959542336
source_final,22,6337.5338412069,6803.5745285043
source_final,23,3647.6519151211,4225.0459239971
source_final,24,3660.3902323167,8021.5805536087
source_final,25,3679.8623500573,7110.1451030361
source_final,26,3592.3856943493,2870.4067670325
source_final,27,5345.5257425666,2342.6600945730
source_final,28,6192.0750731793,7051.5056679655
source_final,29,6364.4978602163,6629.3476371025
source_final,30,3414.5886742927,3068.5844578199
source_final,31,3647.9220784293,3752.3045076316
source_final,32,3630.6327934202,5880.7325748945
source_final,33,6259.4402571550,4378.7941674686
source_final,34,3606.5710700440,7639.0648218831
source_final,35,6344.6816121662,1016.0804306447
source_final,36,3605.0115901934,3192.1655199951
source_final,37,4516.7388913957,7764.2963771428
source_final,38,3636.0485719924,6034.5606396552
source_final,39,4411.0692026335,7833.3914825446
source_final,40,6332.9172937443,2608.3271947703
source_final,41,5086.9518324114,983.3258978012
source_final,42,3573.5070063993,3073.9742184263
source_final,43,3649.8289793463,3954.9455345836
source_final,44,6442.2969720689,2231.7632045296
source_final,45,3648.5316490666,7754.9591558163
source_final,46,6622.4878506391,3713.6725152202
source_final,47,3647.8151183186,7452.7951195494
source_final,48,6672.7435382550,4396.0313421402
source_final,49,3659.3286090780,6708.5404631706
source_final,50,6405.7198167289,1010.0101685620
source_final,51,6430.3943949720,1416.3927552918
source_final,52,3603.4130647625,3087.8388076402
source_final,53,5661.1227513231,7122.1378248356
source_final,54,3649.4098594926,6277.7670628347
source_final,55,3619.1486170389,7822.8351927347
source_final,56,6413.7965282067,3038.6906932722
source_final,57,3580.5472628529,2832.2050988731
source_final,58,3606.1164905537,2942.0182766809
source_final,59,3649.9040912089,962.9706581357
source_final,60,6437.5269786708,2483.3955210460
source_final,61,3661.5523650987,6703.7358845689
source_final,62,6331.9947807982,4852.4842923704
source_final,63,6396.1240567390,2708.9830298759
source_final,64,3687.8157854952,5442.5893352410
source_final,65,3622.5995315407,2332.7506801309
source_final,66,3747.9222541401,4381.9943608195
source_final,67,6352.9543046958,6561.9537539645
source_final,68,3780.5597214084,3762.5183234258
source_final,69,3603.8784549895,2599.0290794992
source_final,70,3595.0250976368,1295.7468944622
source_final,71,6328.8325700262,5095.1100074333
source_final,72,3289.7018949261,3710.2798033164
source_final,73,6391.6383723753,3434.0277342443
source_final,74,6404.7711587752,3338.5752465027
source_final,75,3576.9030555379,3341.0471444589
source_final,76,6314.2772202960,5381.8854906335
source_final,77,6382.3708130898,2330.8803153461
source_final,78,3622.7073093773,1690.0707947191
source_final,79,6449.5492929112,3526.3934281084
source_final,80,6396.6174993881,2796.3730811409
source_final,81,4180.5895099362,7790.1485546759
source_final,82,6250.8520929573,2379.6444495493
source_final,83,3640.2631080806,7256.6306398925
source_final,84,6427.0327087189,3163.7145699613
source_final,85,6339.6457867698,6319.2586036449
source_final,86,3630.3985145044,4336.8467816438
source_final,87,5524.7466859176,955.3927163510
source_final,88,3636.1833321441,3780.1122605429
source_final,89,6268.7097601625,5505.5946500134
source_final,90,3651.7239403073,6428.2215348622
source_final,91,3672.7298250997,823.9999393696
source_final,92,3645.5161035115,1414.9115440174
source_final,93,3654.6143143327,3286.1008372220
source_final,94,3643.0569561401,6410.4892529000
source_final,95,6370.4819711301,4570.7301770858
source_final,96,3644.7716699245,7538.8404738409
source_final,97,3402.6905102701,3143.8317032227
source_final,98,4365.0776144765,5752.1418212044
source_final,99,6667.6010505934,3739.6645740411
source_final,100,4312.8991329743,2407.3468076611
source_final,101,3639.1452894846,5702.7048697367
source_final,102,3603.0384128217,6008.8979029044
source_final,103,5737.9839738166,1025.5851377793
source_final,104,3628.7995360601,5221.1481008936
source_final,105,6370.4342281317,1678.0456051187
source_final,106,3873.7261665562,6432.2815165311
source_final,107,3681.1381918488,1008.4525767758
source_final,108,6306.0007790256,6052.7661590082
source_final,109,3445.0838889046,4379.3200184188
source_final,110,3655.6467799744,4649.2219857403
source_final,111,3605.4836831335,3822.2051774443
source_final,112,6419.7682757237,3728.1254725877
source_final,113,3654.6853954743,5690.2461288825
