label,index,x,y
target,0,6395.5626761454,5298.4035222464
target,1,3585.9818763111,6482.8641544133
target,2,3581.0135311069,7897.7663826536
target,3,6386.6539486887,6033.9518338669
target,4,6437.8753010247,1729.3039916596
target,5,3636.8093009703,8368.1508916425
target,6,3631.5551540848,7867.3434227074
target,7,6431.8166340902,2826.6369115174
target,8,6415.8675541798,5693.5001255609
target,9,6425.1869466926,5804.0377296191
target,10,6386.2795494198,4224.4389186635
target,11,5545.7863125459,7730.7735367344
target,12,6427.0007599079,7201.7060016109
target,13,6415.8093231610,2453.4642485361
target,14,6399.0264901521,4997.3308253250
target,15,3575.9824621300,5592.2350618887
target,16,6420.6662159046,6078.9620591315
target,17,4261.3495243578,7720.2633633770
target,18,6389.2193722304,2109.9137592270
target,19,3633.6382837660,5050.7361292255
target,20,3903.3915079135,1601.2495807907
target,21,5515.3293943874,5018.2969844355
target,22,6403.6039096721,7427.1904316331
target,23,3609.3707240770,4815.4615111828
target,24,3608.4745486645,8649.5335369758
target,25,3652.7580731663,7722.9043593720
target,26,3595.4186694818,3417.6402299207
target,27,5382.6061226089,2956.2748887185
target,28,6242.4894924976,7686.6530039973
target,29,6415.1626423366,7266.7474550282
target,30,3402.4305722768,3642.5916298572
target,31,3611.1676384089,4332.1398039428
target,32,3598.2966612730,6503.4384655763
target,33,6273.8012696369,4981.0379859002
target,34,3562.0771835496,8281.2296367475
target,35,6302.8452776331,1595.8707039486
target,36,3606.9990443663,3794.9007588356
target,37,4462.1581777016,8395.2352756687
target,38,3610.9003725120,6658.1821918110
target,39,4375.4242645738,8433.2037274914
target,40,6341.0721073105,3185.7913207232
target,41,5048.8303136650,1601.2406410641
target,42,3588.3287212259,3642.8428854582
target,43,3618.6129510536,4529.3475232738
target,44,6440.6528164804,2813.7048344858
target,45,3617.3820079132,8373.0924306436
target,46,6602.6954914452,4300.2216659387
target,47,3618.7046279275,8087.9401773862
target,48,6690.8468816551,4982.4563971108
target,49,3630.6813725643,7325.0495320655
target,50,6385.9752831284,1589.8708422017
target,51,6423.6814787783,2011.4226954652
target,52,3588.7898738265,3648.4971679800
target,53,5688.9825709240,7738.0480465299
target,54,3580.6304080476,6888.6112395735
target,55,3574.7130098478,8461.7168894756
target,56,6389.1195582071,3617.8518140964
target,57,3592.3219289953,3388.6069485432
target,58,3594.9101922554,3531.7996403116
target,59,3592.7613534549,1568.2813149815
target,60,6422.6729377961,3057.6217307492
target,61,3609.5378470463,7316.5980030182
target,62,6376.0116938500,5461.7617487713
target,63,6392.3319643215,3326.0729794342
target,64,3650.3136170464,6058.2397930323
target,65,3606.8625974382,2906.0092019066
target,66,3715.2744436568,4985.6206911221
target,67,6411.0707913128,7185.3619414440
target,68,3763.7499964380,4343.8399111111
target,69,3592.4366071737,3164.3932696586
target,70,3554.1419502229,1885.9691703893
target,71,6390.9470371066,5690.1314553633
target,72,3258.5783468498,4297.4751395120
target,73,6383.2653447999,4027.9368320495
target,74,6379.2322492045,3921.7225390165
target,75,3590.9184364080,3919.9549682375
target,76,6398.3463407870,5973.9560662109
target,77,6377.7449197812,2901.6566114995
target,78,3593.7525573522,2275.9062172432
target,79,6412.5187313882,4132.9775687993
target,80,6390.1239277671,3370.5059077881
target,81,4133.5788313623,8388.6159875596
target,82,6239.1983750705,2953.7670333439
target,83,3603.9132637343,7870.9522326220
target,84,6403.5411685737,3754.6542879051
target,85,6425.4106146680,6940.9253192847
target,86,3602.2446068245,4950.9989520778
target,87,5480.9823042731,1561.3688838006
target,88,3598.7121579221,4367.9509125341
target,89,6357.4176098350,6122.0638012690
target,90,3605.7636717476,7044.4299368371
target,91,3626.9347836363,1429.0382681014
target,92,3615.8050528288,2004.5696392014
target,93,3637.0492607682,3848.1925071984
target,94,3602.1946309000,7045.3657692504
target,95,6396.9550190310,5173.0308137154
target,96,3615.1641833242,8154.8869993023
target,97,3380.6572502915,3676.6014033210
target,98,4411.4553638368,6336.6142598930
target,99,6647.6713194326,4333.8714003076
target,100,4320.0880029197,2974.0979457272
target,101,3605.1076603851,6317.2885024353
target,102,3570.7733955177,6640.4119490201
target,103,5713.6889052772,1607.7313111488
target,104,3575.3640105325,5848.1950755587
target,105,6345.4848637685,2255.7861961357
target,106,3865.8928241034,7056.0974105843
target,107,3628.7335406869,1597.2936475513
target,108,6381.6905836601,6684.1903907345
target,109,3375.8070275592,4987.9828354251
target,110,3596.4771391282,5239.3971292356
target,111,3569.2391704688,4411.0766829906
target,112,6414.7631539199,4329.7244559649
target,113,3621.4020131734,6328.7277910330
target,114,4230.0401178231,7721.0878494072
target,115,3603.1404056661,6977.0127118055
