region,iteration,milliseconds
generate_target_profile,0,16.1257
source_deformation,0,43.3183
build_grid_index,0,5.77431
profile_metrics,0,105.879
nearest_neighbors,1,445.609
estimate_transform,1,0.586392
profile_metrics,1,107.119
nearest_neighbors,2,435.492
estimate_transform,2,0.761201
profile_metrics,2,105.847
nearest_neighbors,3,453.798
estimate_transform,3,0.511612
profile_metrics,3,104.348
nearest_neighbors,4,415.076
estimate_transform,4,0.503116
profile_metrics,4,96.5412
nearest_neighbors,5,406.355
estimate_transform,5,0.491143
profile_metrics,5,97.8397
nearest_neighbors,6,400.2
estimate_transform,6,0.536378
profile_metrics,6,94.2746
nearest_neighbors,7,394.64
estimate_transform,7,0.465024
profile_metrics,7,93.9958
nearest_neighbors,8,389.855
estimate_transform,8,0.580851
profile_metrics,8,92.4858
nearest_neighbors,9,392.849
estimate_transform,9,0.560083
profile_metrics,9,92.3391
nearest_neighbors,10,404.865
estimate_transform,10,0.580702
profile_metrics,10,95.492
nearest_neighbors,11,410.886
estimate_transform,11,0.56931
profile_metrics,11,95.8577
nearest_neighbors,12,401.373
estimate_transform,12,0.658107
profile_metrics,12,90.0733
nearest_neighbors,13,400.853
estimate_transform,13,0.51595
profile_metrics,13,85.5992
nearest_neighbors,14,330.255
estimate_transform,14,0.472478
profile_metrics,14,67.076
nearest_neighbors,15,256.204
estimate_transform,15,0.487166
profile_metrics,15,52.9183
nearest_neighbors,16,213.612
estimate_transform,16,0.432473
profile_metrics,16,46.872
nearest_neighbors,17,186.573
estimate_transform,17,0.538533
profile_metrics,17,42.0469
nearest_neighbors,18,170.876
estimate_transform,18,0.371569
profile_metrics,18,40.6646
nearest_neighbors,19,172.036
estimate_transform,19,0.410551
profile_metrics,19,40.3118
nearest_neighbors,20,172.99
estimate_transform,20,0.372991
profile_metrics,20,42.758
nearest_neighbors,21,175.398
estimate_transform,21,0.408839
profile_metrics,21,42.8362
nearest_neighbors,22,178.318
estimate_transform,22,0.415241
profile_metrics,22,43.0733
nearest_neighbors,23,180.52
estimate_transform,23,0.432503
profile_metrics,23,41.7536
nearest_neighbors,24,185.23
estimate_transform,24,0.455556
profile_metrics,24,42.6829
nearest_neighbors,25,194.137
estimate_transform,25,0.435408
profile_metrics,25,43.1868
nearest_neighbors,26,192.33
estimate_transform,26,0.49482
profile_metrics,26,43.6458
nearest_neighbors,27,197.152
estimate_transform,27,0.521841
profile_metrics,27,43.5374
nearest_neighbors,28,197.124
estimate_transform,28,0.393399
profile_metrics,28,44.3285
nearest_neighbors,29,201.092
estimate_transform,29,0.507644
profile_metrics,29,44.398
nearest_neighbors,30,196.905
estimate_transform,30,0.3994
profile_metrics,30,44.5167
nearest_neighbors,31,197.805
estimate_transform,31,0.373662
profile_metrics,31,45.2393
nearest_neighbors,32,195.438
estimate_transform,32,0.391255
profile_metrics,32,45.0485
nearest_neighbors,33,193.654
estimate_transform,33,0.484661
profile_metrics,33,45.9783
nearest_neighbors,34,198.821
estimate_transform,34,0.555604
profile_metrics,34,46.3934
nearest_neighbors,35,198.138
estimate_transform,35,0.415912
profile_metrics,35,48.3953
nearest_neighbors,36,210.938
estimate_transform,36,0.475834
profile_metrics,36,48.1308
nearest_neighbors,37,203.698
estimate_transform,37,0.416152
profile_metrics,37,48.526
nearest_neighbors,38,203.659
estimate_transform,38,0.401355
profile_metrics,38,48.0448
nearest_neighbors,39,204.981
estimate_transform,39,0.386948
profile_metrics,39,48.7412
nearest_neighbors,40,207.824
estimate_transform,40,0.445497
profile_metrics,40,48.9777
nearest_neighbors,41,207.621
estimate_transform,41,0.422314
profile_metrics,41,48.8417
nearest_neighbors,42,206.33
estimate_transform,42,0.412285
profile_metrics,42,48.3114
nearest_neighbors,43,206.585
estimate_transform,43,0.433995
profile_metrics,43,49.7919
nearest_neighbors,44,210.612
estimate_transform,44,0.437433
profile_metrics,44,48.9509
nearest_neighbors,45,210.724
estimate_transform,45,0.437382
profile_metrics,45,49.0277
