region,iteration,milliseconds
generate_target_profile,0,15.9425
source_deformation,0,42.6441
build_grid_index,0,5.3385
profile_metrics,0,872.916
nearest_neighbors,1,484.548
estimate_transform,1,0.554711
profile_metrics,1,941.765
nearest_neighbors,2,453.131
estimate_transform,2,0.551074
profile_metrics,2,919.663
nearest_neighbors,3,407.645
estimate_transform,3,0.456257
profile_metrics,3,869.421
nearest_neighbors,4,395.916
estimate_transform,4,0.496652
profile_metrics,4,818.683
nearest_neighbors,5,393.124
estimate_transform,5,0.565922
profile_metrics,5,809.7
nearest_neighbors,6,393.31
estimate_transform,6,0.537028
profile_metrics,6,813.707
nearest_neighbors,7,354.832
estimate_transform,7,0.497804
profile_metrics,7,534.504
nearest_neighbors,8,213.509
estimate_transform,8,0.42637
profile_metrics,8,375.433
nearest_neighbors,9,176.327
estimate_transform,9,0.352532
profile_metrics,9,345.879
nearest_neighbors,10,178.076
estimate_transform,10,0.414318
profile_metrics,10,364.584
nearest_neighbors,11,178.943
estimate_transform,11,0.386095
profile_metrics,11,341.396
nearest_neighbors,12,171.639
estimate_transform,12,0.359174
profile_metrics,12,340.965
nearest_neighbors,13,169.399
estimate_transform,13,0.391425
profile_metrics,13,330.811
nearest_neighbors,14,164.699
estimate_transform,14,0.365466
profile_metrics,14,332.686
nearest_neighbors,15,171.4
estimate_transform,15,0.497864
profile_metrics,15,336.287
nearest_neighbors,16,164.085
estimate_transform,16,0.379572
profile_metrics,16,335.399
nearest_neighbors,17,169.897
estimate_transform,17,0.465033
profile_metrics,17,326.079
nearest_neighbors,18,167.691
estimate_transform,18,0.412875
profile_metrics,18,327.451
nearest_neighbors,19,165.352
estimate_transform,19,0.407574
profile_metrics,19,330.475
nearest_neighbors,20,171.834
estimate_transform,20,0.401273
profile_metrics,20,331.163
nearest_neighbors,21,170.996
estimate_transform,21,0.434445
profile_metrics,21,333.961
nearest_neighbors,22,170.455
estimate_transform,22,0.382909
profile_metrics,22,335.622
nearest_neighbors,23,173.536
estimate_transform,23,0.412955
profile_metrics,23,344.141
nearest_neighbors,24,180.051
estimate_transform,24,0.418796
profile_metrics,24,357.652
nearest_neighbors,25,189.81
estimate_transform,25,0.417614
profile_metrics,25,356.33
nearest_neighbors,26,189.656
estimate_transform,26,0.459703
profile_metrics,26,359.782
nearest_neighbors,27,187.279
estimate_transform,27,0.432452
profile_metrics,27,362.712
nearest_neighbors,28,190.079
estimate_transform,28,0.394059
profile_metrics,28,359.946
nearest_neighbors,29,191.476
estimate_transform,29,0.428474
profile_metrics,29,368.176
nearest_neighbors,30,191.233
estimate_transform,30,0.447791
profile_metrics,30,366.116
nearest_neighbors,31,191.277
estimate_transform,31,0.442761
profile_metrics,31,372.558
nearest_neighbors,32,192.37
estimate_transform,32,0.414889
profile_metrics,32,376.539
nearest_neighbors,33,187.049
estimate_transform,33,0.435939
profile_metrics,33,376.652
nearest_neighbors,34,185.921
estimate_transform,34,0.445616
profile_metrics,34,386.869
nearest_neighbors,35,191.15
estimate_transform,35,0.419086
profile_metrics,35,394.149
nearest_neighbors,36,195.015
estimate_transform,36,0.43166
profile_metrics,36,401.908
nearest_neighbors,37,199.72
estimate_transform,37,0.42122
profile_metrics,37,404.956
nearest_neighbors,38,200.552
estimate_transform,38,0.444935
profile_metrics,38,409.324
nearest_neighbors,39,197.841
estimate_transform,39,0.441318
profile_metrics,39,404.652
nearest_neighbors,40,199.958
estimate_transform,40,0.397466
profile_metrics,40,405.501
nearest_neighbors,41,199.406
estimate_transform,41,0.415109
profile_metrics,41,404.69
nearest_neighbors,42,215.16
estimate_transform,42,0.445766
profile_metrics,42,422.17
nearest_neighbors,43,206.963
estimate_transform,43,0.443212
profile_metrics,43,411.784
nearest_neighbors,44,204.707
estimate_transform,44,0.497494
profile_metrics,44,437.162
nearest_neighbors,45,206.562
estimate_transform,45,0.486353
profile_metrics,45,423.931
export_reconstruction,0,2341.14
